epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.702,3.27555,6.1621,4.13299,0.00024,0.0055,0.00027,5e-05,3.32687,inf,4.89421,0.00332147,0.00332147,0.00332147
2,383.641,2.42247,5.04198,2.98424,0.46883,0.01764,0.01366,0.0063,1.9035,3.86556,2.46941,0.00658892,0.00658892,0.00658892
3,512.934,1.57145,3.87168,1.98434,0.37529,0.06923,0.03685,0.02038,1.54923,3.4504,1.82217,0.00979037,0.00979037,0.00979037
4,641.766,1.30357,3.35748,1.61278,0.61886,0.12931,0.11225,0.06946,1.25096,2.57323,1.46593,0.009703,0.009703,0.009703
5,770.077,1.19212,2.96776,1.4779,0.59019,0.18324,0.19471,0.12313,1.14765,2.19585,1.3439,0.009604,0.009604,0.009604
6,898.434,1.13559,2.65596,1.40313,0.62453,0.25491,0.26164,0.17333,1.08709,1.91392,1.30065,0.009505,0.009505,0.009505
7,1026.16,1.08589,2.40956,1.35505,0.54065,0.29055,0.29124,0.19187,1.06427,1.79075,1.27552,0.009406,0.009406,0.009406
8,1154.45,1.05065,2.21522,1.32325,0.60783,0.35384,0.37932,0.25895,1.04428,1.55396,1.2467,0.009307,0.009307,0.009307
9,1282.18,1.03201,2.01036,1.29827,0.6478,0.39769,0.44054,0.30495,1.00673,1.37635,1.22518,0.009208,0.009208,0.009208
10,1409.75,1.01504,1.8685,1.27174,0.54045,0.5136,0.48719,0.34986,0.9839,1.27181,1.20321,0.009109,0.009109,0.009109
11,1537.49,0.98903,1.72593,1.25013,0.62233,0.51251,0.53633,0.38569,0.96356,1.18448,1.18633,0.00901,0.00901,0.00901
12,1665.29,0.97171,1.61671,1.22952,0.57073,0.57032,0.54474,0.39774,0.95841,1.14768,1.18094,0.008911,0.008911,0.008911
13,1792.91,0.95876,1.52942,1.21943,0.61707,0.56176,0.57141,0.41382,0.96061,1.07354,1.18725,0.008812,0.008812,0.008812
14,1920.52,0.9443,1.46487,1.20754,0.59261,0.58662,0.59338,0.43457,0.92899,1.01155,1.15046,0.008713,0.008713,0.008713
15,2047.95,0.92567,1.38193,1.18716,0.62646,0.61425,0.61834,0.4571,0.91418,0.94157,1.14178,0.008614,0.008614,0.008614
16,2175.84,0.9196,1.34355,1.18497,0.61303,0.62072,0.63042,0.46221,0.92246,0.9348,1.14559,0.008515,0.008515,0.008515
17,2303.1,0.90912,1.29313,1.18218,0.62441,0.64932,0.64518,0.47856,0.91582,0.90898,1.14793,0.008416,0.008416,0.008416
