epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.146,3.53994,7.25458,4.36299,4.19769,0.00206,0.23455,0.00223,0.00074,0.00019,0.0216,0.0001,2e-05,3.31509,49.9365,4.69972,4.57254,0.00331699,0.00331699,0.00331699
2,338.781,3.16128,4.97461,3.85896,3.68535,0.35348,0.02834,0.01152,0.00322,0.35182,0.02316,0.00632,0.00142,2.67987,4.80955,3.69783,3.33388,0.00658449,0.00658449,0.00658449
3,506.743,2.5203,4.57286,3.38374,2.92456,0.41446,0.10579,0.03973,0.0133,0.4153,0.08935,0.03287,0.00894,2.41804,4.46888,3.72163,2.93019,0.00978598,0.00978598,0.00978598
4,674.229,2.22993,4.16637,3.01718,2.55583,0.45308,0.14248,0.06676,0.02353,0.44636,0.12274,0.05695,0.01718,2.27939,4.11854,3.45842,2.72409,0.009703,0.009703,0.009703
5,841.167,2.06283,3.86118,2.78013,2.36019,0.323,0.18646,0.13021,0.05223,0.35287,0.18016,0.12752,0.04645,2.07235,3.69979,2.718,2.45576,0.009604,0.009604,0.009604
6,1007.78,1.97068,3.68615,2.63285,2.26086,0.5032,0.16895,0.11904,0.04619,0.50459,0.14637,0.10025,0.03392,2.08757,3.70275,2.7848,2.44935,0.009505,0.009505,0.009505
7,1174.24,1.8945,3.51284,2.51225,2.18288,0.57236,0.23614,0.20475,0.09235,0.56852,0.22871,0.18945,0.07853,1.89454,3.35663,2.4356,2.24543,0.009406,0.009406,0.009406
8,1341.46,1.84553,3.38661,2.42078,2.12887,0.33694,0.23924,0.20648,0.0962,0.42908,0.22545,0.19596,0.08115,1.83406,3.27243,2.42269,2.17775,0.009307,0.009307,0.009307
9,1517.47,1.81411,3.3436,2.35026,2.09186,0.42563,0.26335,0.2455,0.11644,0.44976,0.24486,0.23163,0.09954,1.78812,3.13697,2.3114,2.14421,0.009208,0.009208,0.009208
10,1695.63,1.7474,3.21385,2.28854,2.03853,0.31873,0.27919,0.26862,0.13187,0.30834,0.27146,0.24766,0.10901,1.7767,3.0728,2.22632,2.10481,0.009109,0.009109,0.009109
11,1874.07,1.73974,3.15094,2.21809,2.02085,0.31017,0.34018,0.28445,0.14395,0.3228,0.32181,0.27144,0.12363,1.68572,2.96575,2.12335,2.02847,0.00901,0.00901,0.00901
12,2053.1,1.72058,3.10226,2.17684,1.9899,0.3656,0.32954,0.30513,0.15566,0.35618,0.31076,0.28063,0.12709,1.66944,2.96004,2.13968,2.02517,0.008911,0.008911,0.008911
13,2231.47,1.67196,3.01812,2.11878,1.95989,0.36898,0.35995,0.31947,0.16419,0.3615,0.34173,0.29642,0.13463,1.66987,2.94808,2.03473,1.98599,0.008812,0.008812,0.008812
14,2409.45,1.65154,2.98585,2.08538,1.93818,0.42281,0.3339,0.32431,0.17117,0.42936,0.32786,0.31233,0.14451,1.63433,2.82273,2.06348,1.95491,0.008713,0.008713,0.008713
15,2577.82,1.61844,2.92743,2.01307,1.89737,0.45641,0.39067,0.38498,0.20691,0.45571,0.37967,0.36384,0.17206,1.57479,2.70494,1.8764,1.90273,0.008614,0.008614,0.008614
16,2744.15,1.60247,2.87658,1.97086,1.88331,0.43268,0.39101,0.37717,0.20364,0.44585,0.38016,0.36793,0.17859,1.5543,2.66804,1.85971,1.88783,0.008515,0.008515,0.008515
17,2910.61,1.58061,2.82182,1.92539,1.85911,0.48445,0.37656,0.39175,0.21522,0.48477,0.37001,0.37527,0.1801,1.54752,2.64711,1.84727,1.89007,0.008416,0.008416,0.008416
18,3077.05,1.56828,2.80121,1.9276,1.83613,0.45436,0.40153,0.40767,0.23201,0.4946,0.39125,0.39623,0.19378,1.48031,2.61661,1.74514,1.81226,0.008317,0.008317,0.008317
19,3243.69,1.54052,2.73389,1.86608,1.82451,0.46443,0.43124,0.42963,0.24065,0.46672,0.41756,0.41323,0.20408,1.49257,2.55002,1.71981,1.82408,0.008218,0.008218,0.008218
