epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8856,3.97849,5.04788,4.09342,0.00023,0.06736,0.00013,4e-05,4.33993,5.033,3.73292,0.000654971,0.000654971,0.000654971
2,57.4588,3.18425,3.72492,3.32397,0.06028,0.09326,0.01405,0.00402,2.95679,3.78279,3.00254,0.00130855,0.00130855,0.00130855
3,89.7826,2.81756,3.28948,2.90028,0.092,0.07772,0.02967,0.00801,2.90093,3.23444,2.81724,0.00194894,0.00194894,0.00194894
4,122.338,2.67955,2.89096,2.71929,0.19088,0.21244,0.10929,0.03153,2.56264,2.72696,2.71566,0.0019406,0.0019406,0.0019406
5,146.842,2.48097,2.63424,2.57213,0.20921,0.3989,0.20308,0.07764,2.04802,4.5453,2.26879,0.0019208,0.0019208,0.0019208
6,169.225,2.36936,2.46031,2.48826,0.19005,0.10881,0.06856,0.02329,2.57243,3.22615,2.50545,0.001901,0.001901,0.001901
7,190.369,2.33677,2.37381,2.42642,0.35111,0.15026,0.11886,0.03501,2.20153,3.43166,2.42548,0.0018812,0.0018812,0.0018812
8,211.93,2.20096,2.2378,2.31998,0.36715,0.34715,0.29252,0.10807,1.98509,3.21248,2.20661,0.0018614,0.0018614,0.0018614
9,233.878,2.18187,2.12229,2.26073,0.39183,0.47668,0.41183,0.1742,1.88187,2.84524,2.046,0.0018416,0.0018416,0.0018416
10,257.663,2.07797,1.99762,2.17087,0.5153,0.40933,0.39325,0.15959,1.99278,1.93324,2.12475,0.0018218,0.0018218,0.0018218
11,279.179,2.00877,1.90784,2.11285,0.56067,0.51577,0.50475,0.21663,1.92794,1.72714,2.03498,0.001802,0.001802,0.001802
12,301.155,1.99933,1.86319,2.07861,0.55479,0.56172,0.59,0.27535,1.71413,1.60546,1.9192,0.0017822,0.0017822,0.0017822
13,323.147,2.00011,1.82447,2.11558,0.54599,0.58549,0.56287,0.27104,1.77361,1.55788,1.95097,0.0017624,0.0017624,0.0017624
14,346.412,1.94997,1.79764,2.03164,0.68964,0.62172,0.66848,0.31319,1.78918,1.55805,1.93243,0.0017426,0.0017426,0.0017426
15,368.432,1.88393,1.74469,2.02314,0.6341,0.68241,0.66429,0.30839,1.79074,1.40401,1.91894,0.0017228,0.0017228,0.0017228
16,390.292,1.84575,1.72175,1.97984,0.69631,0.6114,0.70644,0.33975,1.70208,1.47793,1.86478,0.001703,0.001703,0.001703
17,412.278,1.83913,1.5658,1.9881,0.71941,0.67753,0.72714,0.33702,1.75401,1.48628,1.94079,0.0016832,0.0016832,0.0016832
18,435.92,1.846,1.6041,1.93531,0.8002,0.68912,0.78395,0.38332,1.73459,1.27403,1.88517,0.0016634,0.0016634,0.0016634
19,458.006,1.81242,1.5515,1.92154,0.81002,0.55959,0.67989,0.36075,1.72181,1.3541,1.80819,0.0016436,0.0016436,0.0016436
20,482.012,1.80322,1.56039,1.91427,0.6976,0.58569,0.62751,0.31119,1.74382,1.61005,1.93141,0.0016238,0.0016238,0.0016238
21,503.07,1.74575,1.50869,1.88961,0.7335,0.72732,0.76212,0.40469,1.67856,1.25396,1.80938,0.001604,0.001604,0.001604
22,525.07,1.73052,1.48886,1.86211,0.68828,0.66839,0.70274,0.39275,1.55167,1.26465,1.7653,0.0015842,0.0015842,0.0015842
23,547.303,1.73043,1.47603,1.86267,0.69318,0.71503,0.74719,0.3922,1.64215,1.37203,1.79969,0.0015644,0.0015644,0.0015644
24,569.053,1.75909,1.49769,1.89072,0.82723,0.76909,0.82694,0.43893,1.61311,1.20355,1.79118,0.0015446,0.0015446,0.0015446
25,590.888,1.72702,1.42337,1.85095,0.80286,0.77202,0.83367,0.41307,1.65869,1.16299,1.83502,0.0015248,0.0015248,0.0015248
26,612.3,1.71531,1.4061,1.83155,0.75395,0.71446,0.78224,0.38887,1.59762,1.22566,1.81225,0.001505,0.001505,0.001505
27,634.798,1.72581,1.42154,1.83408,0.83495,0.74093,0.84263,0.43779,1.5339,1.17508,1.72921,0.0014852,0.0014852,0.0014852
28,656.443,1.64835,1.34179,1.77965,0.85227,0.74731,0.84621,0.46517,1.57192,1.07744,1.70216,0.0014654,0.0014654,0.0014654
29,678.091,1.6793,1.35337,1.82146,0.84014,0.70466,0.79059,0.42377,1.60336,1.19309,1.75709,0.0014456,0.0014456,0.0014456
30,699.437,1.65771,1.30854,1.80306,0.83366,0.80502,0.87392,0.47239,1.44606,1.03127,1.67105,0.0014258,0.0014258,0.0014258
31,722.117,1.66008,1.34704,1.78275,0.85663,0.7772,0.84909,0.4477,1.60904,1.08479,1.72857,0.001406,0.001406,0.001406
32,744.261,1.62951,1.29858,1.75575,0.82806,0.82348,0.88784,0.49476,1.49313,0.96401,1.6658,0.0013862,0.0013862,0.0013862
33,765.768,1.60424,1.2598,1.73082,0.8053,0.76684,0.8211,0.44117,1.57668,1.04139,1.69777,0.0013664,0.0013664,0.0013664
34,787.306,1.63094,1.24176,1.74323,0.82339,0.82902,0.87186,0.4796,1.56739,1.02905,1.69465,0.0013466,0.0013466,0.0013466
35,808.456,1.59081,1.21807,1.70474,0.88423,0.78756,0.87703,0.49847,1.51711,0.95128,1.64837,0.0013268,0.0013268,0.0013268
36,833.664,1.58014,1.16953,1.69218,0.90007,0.84002,0.90313,0.50975,1.46588,0.88016,1.62052,0.001307,0.001307,0.001307
37,854.635,1.55032,1.14263,1.66871,0.86861,0.81347,0.88878,0.5038,1.4621,0.96581,1.62781,0.0012872,0.0012872,0.0012872
38,875.959,1.57938,1.19896,1.70928,0.8734,0.78643,0.88273,0.47886,1.55522,0.99495,1.65446,0.0012674,0.0012674,0.0012674
39,898.312,1.54484,1.11955,1.69546,0.78899,0.85246,0.87927,0.47817,1.50743,0.98448,1.69653,0.0012476,0.0012476,0.0012476
40,920.516,1.55622,1.10356,1.67878,0.85733,0.87565,0.91138,0.51681,1.4904,0.89151,1.61821,0.0012278,0.0012278,0.0012278
41,941.788,1.55484,1.09848,1.66164,0.83366,0.85492,0.90568,0.4868,1.4903,0.9156,1.62005,0.001208,0.001208,0.001208
42,963.192,1.52909,1.09578,1.67563,0.82903,0.87934,0.90119,0.49884,1.41709,0.94405,1.63343,0.0011882,0.0011882,0.0011882
43,984.235,1.49974,1.09097,1.65493,0.9053,0.85492,0.92056,0.52098,1.53441,0.8751,1.60869,0.0011684,0.0011684,0.0011684
44,1007.1,1.51239,1.09786,1.66418,0.87573,0.91282,0.93593,0.53283,1.4353,0.83153,1.58665,0.0011486,0.0011486,0.0011486
45,1028.68,1.48844,1.0328,1.62388,0.89664,0.87565,0.92671,0.48402,1.55598,0.86322,1.63457,0.0011288,0.0011288,0.0011288
46,1049.48,1.48808,1.05254,1.64735,0.92426,0.88601,0.94378,0.53636,1.48235,0.80036,1.62615,0.001109,0.001109,0.001109
47,1070.71,1.51904,1.02882,1.64139,0.8761,0.91594,0.92666,0.51666,1.44547,0.8528,1.59005,0.0010892,0.0010892,0.0010892
48,1093.18,1.45365,1.0444,1.63661,0.92077,0.90325,0.93715,0.53029,1.43843,0.82945,1.60485,0.0010694,0.0010694,0.0010694
49,1115.27,1.48973,1.04125,1.6271,0.88365,0.90155,0.93262,0.51975,1.37711,0.7705,1.58099,0.0010496,0.0010496,0.0010496
50,1136.24,1.47939,1.0137,1.61232,0.90149,0.85492,0.91936,0.51438,1.45371,0.82711,1.56838,0.0010298,0.0010298,0.0010298
51,1157.76,1.47355,1.02893,1.63759,0.8988,0.89119,0.93467,0.53881,1.409,0.80964,1.55936,0.00101,0.00101,0.00101
52,1181.58,1.44784,0.99132,1.59334,0.90053,0.91192,0.9302,0.55253,1.45073,0.77373,1.55995,0.0009902,0.0009902,0.0009902
53,1204.48,1.45081,0.99498,1.59605,0.88555,0.87047,0.92215,0.53791,1.47946,0.81737,1.56092,0.0009704,0.0009704,0.0009704
54,1225.78,1.44872,0.97771,1.58745,0.89106,0.94301,0.94235,0.55862,1.38741,0.76764,1.5425,0.0009506,0.0009506,0.0009506
55,1247.01,1.42019,0.96565,1.56611,0.92763,0.88601,0.94978,0.55215,1.41809,0.74508,1.56494,0.0009308,0.0009308,0.0009308
56,1268.21,1.43471,0.95361,1.56608,0.8888,0.91111,0.94205,0.5694,1.36956,0.76897,1.54143,0.000911,0.000911,0.000911
57,1290.39,1.43377,0.95815,1.60508,0.92155,0.90155,0.95071,0.57286,1.39053,0.76489,1.51944,0.0008912,0.0008912,0.0008912
58,1311.7,1.44261,0.95456,1.58541,0.93378,0.90674,0.94758,0.57762,1.38928,0.71712,1.50239,0.0008714,0.0008714,0.0008714
59,1332.97,1.41433,0.93384,1.58373,0.90695,0.90155,0.94328,0.56151,1.32142,0.71079,1.51224,0.0008516,0.0008516,0.0008516
60,1354.31,1.40321,0.93782,1.56174,0.94587,0.90544,0.94972,0.57326,1.37468,0.70442,1.50991,0.0008318,0.0008318,0.0008318
61,1376.53,1.37499,0.88368,1.54301,0.93862,0.90674,0.95257,0.56875,1.39583,0.70551,1.52237,0.000812,0.000812,0.000812
62,1398.41,1.38142,0.90962,1.53327,0.92605,0.88601,0.94083,0.54145,1.36246,0.72386,1.54052,0.0007922,0.0007922,0.0007922
63,1419.64,1.41401,0.90015,1.54245,0.88298,0.89922,0.92755,0.54703,1.41067,0.74034,1.51015,0.0007724,0.0007724,0.0007724
